OWN_PN;OWN_PROD_NAME;TABLE.OWN_PROD_NAME
PR6142GD16C26AF-2;VxRail-500IntelCPU 6142 16C 2.6 GHz2ndAF;VXRAIL-500INTELCPU 6142 16C 2.6;
Q9J67A;HPE OMNISTACK 8-14C 1P SMALL SW/PROMO;=>>>HPE OMNISTACK 8_14C 1P SMALL SW;
859364-B21;HPE APOLLO PLATFORM MANAGER;HPE Apollo Platform Manager;
Q8A66A;HPE OmniStack 16-22c 2P Extra Small SW;HPE OMNISTACK 16-22C 2P EXTRA SMALL SW;
867158R-B21#B19;HPE APOLLO R2600 24SF-PREM REMANUFACTURE;R/HPE Apollo r2600 24SF-Prem Remanufactu;
Q9J75A;=>>>HPE OMNISTACK 16-22C 1PSMALL PR;OmniStack 16-22c 1P Small SW/Promo;
Q9J68A;zHPE OmniStack 8-14c 2P Small SW/Promo;HPE OMNISTACK 8-14C 2P SMALL SW/PROMO;
Q9J68A;zHPE OmniStack 8-14c 2P Small SW/Promo;HPE OmniStack 8-14c 2P Small SW/Promo;
7119677;ORACLE DATABASE APPLIANCE X7-2-HA STORAG;BTO Exadata X7-2 NIC;
798096R-B21;HPE SYNERGY 12000F 6X 2650W AC REMANUFAC;HPE SYNERGY 12000F 6X 2650W AC;
798096R-B21;HPE SYNERGY 12000F 6X 2650W AC REMANUFAC;HPE Synergy 12000F 6x 2650W AC Reman (P);
798096R-B21;HPE SYNERGY 12000F 6X 2650W AC REMANUFAC;HPE SYNERGY 12000F 6X 2650W AC REMAN PS;
798096R-B21;HPE SYNERGY 12000F 6X 2650W AC REMANUFAC;HPE Synergy 12000F 6x 2650W AC Reman PS;
798096R-B21;HPE SYNERGY 12000F 6X 2650W AC REMANUFAC;SYNERGY 12000F 6X 2650W AC PS;
B72650;Oracle Standard Software Installation & Configuration for Systems Service: Oracle ZFS Backup Appliance;ORACLE STANDART SW ISTALLATION AND CONFIGURATION;
PR5118GD12C23AF-2;VXRAIL-500INTELCPU 5118 12C 2.3 GHZ2NDAF;VXRAIL-500INTELCPU 5118 12C 2.3;
Q9J67A;HPE OmniStack 8-14c 1P Small SW/Promo;=>>>HPE OMNISTACK 8_14C 1P SMALL SW;
Q9J67A;HPE OmniStack 8-14c 1P Small SW/Promo;=>>>HPE OMNISTACK 8_14C 1P SMALL SW;
Q9J68A;=>>>HPE OMNISTACK 8_14C 2P SMALL SW;HPE OMNISTACK 8-14C 2P SMALL SW/PROMO;
Q9J68A;=>>>HPE OMNISTACK 8_14C 2P SMALL SW;HPE OmniStack 8-14c 2P Small SW/Promo;
882020-B21;HPE Apollo 4500 Gen10 CPU0 x2_CPU1 x2 FI;HPE A4500 P0 1X8 1X16 P1 2X16 FIO IO MOD;
882020-B21;HPE Apollo 4500 Gen10 CPU0 x2_CPU1 x2 FI;HPE A4500 P0 1x8 1x16 P1 2x16 FIO IO Mod;
882020-B21;HPE Apollo 4500 Gen10 CPU0 x2_CPU1 x2 FI;HPE APOLLO 4500 GEN10 2X/2X FIO I/O;
882020-B21;HPE Apollo 4500 Gen10 CPU0 x2_CPU1 x2 FI;HPE APOLLO 4500 GEN10 2X/2X FIO I/O MOD;
882020-B21;HPE Apollo 4500 Gen10 CPU0 x2_CPU1 x2 FI;HPE Apollo 4500 Gen10 2x/2x FIO I/O Mod;
882020-B21;HPE Apollo 4500 Gen10 CPU0 x2_CPU1 x2 FI;HPE Apollo 4500 Gen10 CPU0 x2_CPU1 x2 FIO I_O Modu;
882020-B21;HPE Apollo 4500 Gen10 CPU0 x2_CPU1 x2 FI;zHPE Apollo 4500 Gen10 2x/2x FIO I/O Mod;
J9582A;HP Networking 3800 Lüfter-Tray;Plateau thermoventilateur du d;
511778-001;HPE AC Netzteil 750W hot-plug;ALIMENTATION SERVEUR 750WATT HOT PLUG POUR PROLIANT;
511778-001;HPE AC Netzteil 750W hot-plug;HP 750Watt hotswap powersupply;
511778-001;HPE AC Netzteil 750W hot-plug;HPE - alimentation - brancheme;
P0K45CA;HP HPE S AS SDPL7505X/SANtoSDPL7600 Upg Svr SAP REG;ArcSight Security Data Platform L7505X Upgr;
PR6138GD20C20AF;VxRail-500 Intel CPU 6138 20C 2.0 GHz AF;VXRAIL 500 Xeon/Gold 6138/2GHz Flash Drive Array;
Q9J67A;OMNISTACK 8-14C 1P SMALL SW/PRO;=>>>HPE OMNISTACK 8_14C 1P SMALL SW;
868858-B21;HPE APOLLO SERVER TRAY IO MOD OPT KI;=>>>HPE APOLLO SERVER TRAY I_O MODU;
870868-B21;HPE APOLLO 6000 SERVER TRAY BLANK KI;HPE APOLLO 6000 SERVER TRAY BLANK K;
511778-001;HP HPE 750W ALIM HPE ML110 G9;ALIMENTATION SERVEUR 750WATT HOT PLUG POUR PROLIANT;
511778-001;HP HPE 750W ALIM HPE ML110 G9;HP 750Watt hotswap powersupply;
511778-001;HP HPE 750W ALIM HPE ML110 G9;HPE - alimentation - brancheme;
AT065A;HP SUPERDOME 2 TICAP ( 8S AND 16S SV;HPE Superdome 2 TiCAP 8s and 16s Svr;
Q9J80A;HPE OMNISTACK 16-22C 2P LARGE SW/PROMO;OmniStack 16-22c 2P Large SW/Promo;
Q9J72A;HPE OMNISTACK 8-14C 2P LARGE SW/PROMO;HPE OmniStack 8-14c 2P Large SW/Promo;
Q9J72A;HPE OMNISTACK 8-14C 2P LARGE SW/PROMO;OmniStack 8-14c 2P Large SW/Promo;
Q9J70A;HPE OMNISTACK 8-14C 2P MEDIUM SW/PROMO;HPE OmniStack 8-14c 2P Medium SW/Promo;
Q9J67A;HPE OMNISTACK 8-14C 1P SMALL SW/PROMO;=>>>HPE OMNISTACK 8_14C 1P SMALL SW;
Q9J67A;OmniStack 8-14c 1P Small SW/Promo;=>>>HPE OMNISTACK 8_14C 1P SMALL SW;
PR4110SV8C21;VxRail-500 Intel CPU 4110 8C 2.1 GHz H;VXRAIL-500 INTEL CPU 4110 8C 2;
PR4110SV8C21-2;VxRail-500 Intel CPU 4110 8C 2.1GHz2ndH;VXRAIL-500 INTEL CPU 4110 8C 2;
Q9J67A;OmniStack 8-14c 1P Small SW/Promo;=>>>HPE OMNISTACK 8_14C 1P SMALL SW;
PR6134GD8C32AF;VxRail-500 Intel CPU 6134 8C 3.2 GHz AF;VXRAIL 500 Flash Drive Array;
Q9J67A;HPE OmniStack 8-14c 1P Small SW_Promo;=>>>HPE OMNISTACK 8_14C 1P SMALL SW;
PR6140GD18C23;VxRail-500 Intel CPU 6140 18C 2.3 GHz H;VXRAIL 500 Xeon18C/Gold 6140/2.3GHz Flash Drive Array;
PR4110SV8C21;VXRAIL-500 INTEL CPU 4110 8C 2.1 GHZ H;VXRAIL-500 INTEL CPU 4110 8C 2;
PR4110SV8C21;VxRail-500 Intel CPU 4110 8C 2.1 GHz H;VXRAIL-500 INTEL CPU 4110 8C 2;
 3 NODE NUT;NX-1365-G6-SW-CM;NUTANIX HARDWARE PLATFORM * NX-1365-G6, 3 NODE NUT;
43W9078;FLEX SYSTEM ENTERPRISE;43W9078 Flex System x480 X6 Compute Node;
43W9078;FLEX SYSTEM ENTERPRISE;LENOVO DCG FLEX SYSTEM ENTERPRISE CHASSI;
43W9078;FLEX SYSTEM ENTERPRISE;LENOVO EBG FLEX SYSTEM ENTERPRISE CHASSI;
88Y6386;FLEX SYSTEM FC5022 16GB;*FOD* FLEX SYSTEM FC5022 16GB SAN SCALAB;
88Y6386;FLEX SYSTEM FC5022 16GB;FLEX SYSTEM FC5022 16GB SAN;
88Y6386;FLEX SYSTEM FC5022 16GB;LENOVO UPGRADE 2 - LICENCE ( FEATURE-ON-;
Q9J67A;OmniStack 8-14c 1P Small SW/Promo;=>>>HPE OMNISTACK 8_14C 1P SMALL SW;
E0ISZLL;IBM PUREDATA SYSTEM FOR ANALYTICS N2002-;IBM PureData System for Analytics N2002-;
210-ANLT;ZR(Gii:103769223) XC740xdENT;BASE,HCI,XC740XDENT,XEN;
210-ANLT;ZR(Gii:103769223) XC740xdENT;BTO/Dell EMC XC740XD XC CORE;
210-ANLT;ZR(Gii:103769223) XC740xdENT;Dell EMC XC740xdENT XC CORE;
210-ANLT;ZR(Gii:103769223) XC740xdENT;Dell EMC XC740xdENT, XC CORE;
210-ANLT;ZR(Gii:103769223) XC740xdENT;Dell EMC XC740xdENT, XC CORE [Dell EMC XC740xd - [EMEA_XC740xdENT]];
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;(GIIQuote:99911853) VRTX 10GB 24*1.2TB 3YRPro 4HRMissonC;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;(GIIQuote:100165272) VRTX 18*600GB 2.5 HDD Dual 3YRPRO4HR;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;(GIIQuote:100369182) VRTX;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;:AGRICA:DELL PE VRTX/12*600GB/4Y;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;:POSTE:DELL PowerEdge VRTX 4*400GB SSD;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;:POSTE:DELL PowerEdge VRTX 6*300GB;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;:POSTE:DELL PowerEdge VRTX 6*300GB SAS;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;BTO/210-ABCU?17918854;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;BTO/210-ABCU?18178197;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;BTO/Dell 210-ABCU?18091253.4;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;BTO/Dell 210-ABCU?22955015.3;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;BTO/POWEREDGE VRTX TOWER CHASSIS;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;CS/PowerEdge VRTX chasis torre;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;CS/PowerEdge VRTX Tower Chassis;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;DELL POWEREDGE VRTX TOWER;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;Dell PowerEdge VRTX Tower Chassis;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;HC (Gii: 102635128) VRTX Tower Chassis;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;HC(GII:100913524)VRTX;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;JS( GII: 101814886.1) VRTX;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;LM (Gii: 102328561) VRTX Tower Chassis;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;LM(GIIQuote:101458822) VRTX;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;MS(GII:101453453/2) Vrtx;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;POSTE:DELL PE VRTX 2.5 HDD 11x300GB;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;POWEREDGE VRTX TOWER CHASSIS;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;PowerEdge VRTX Tower Chassis;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;PowerEdge VRTX Tower chassis;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;PowerEdge VRTX Tower Gehäuse;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;PowerEdge VRTX Towergehäuse;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;PP (Gii 103236216) VRTX Tower Chassis;
210-ABCU;JH(Gii:103837095) VRTX Tower Chassis;VD (Gi: 102693065) VRTX;
Q9J67A;HPE OmniStack 8-14c 1P Small SW/Promo;=>>>HPE OMNISTACK 8_14C 1P SMALL SW;
210-ANLT;ZR(Gii:103769123) XC740xdENT;BASE,HCI,XC740XDENT,XEN;
210-ANLT;ZR(Gii:103769123) XC740xdENT;BTO/Dell EMC XC740XD XC CORE;
210-ANLT;ZR(Gii:103769123) XC740xdENT;Dell EMC XC740xdENT XC CORE;
210-ANLT;ZR(Gii:103769123) XC740xdENT;Dell EMC XC740xdENT, XC CORE;
210-ANLT;ZR(Gii:103769123) XC740xdENT;Dell EMC XC740xdENT, XC CORE [Dell EMC XC740xd - [EMEA_XC740xdENT]];
Q9J68A;OMNISTACK 8-14C 2P SMALL;HPE OMNISTACK 8-14C 2P SMALL SW/PROMO;
Q9J68A;OMNISTACK 8-14C 2P SMALL;HPE OmniStack 8-14c 2P Small SW/Promo;
SSD1600GB25S570;VXRAIL-500CACHESSD S570 1600GB;VXRAIL-500 1600GB Drive Array;
SSD1600GB25S570;VXRAIL-500CACHESSD S570 1600GB;VXRAIL-500CACHESSD S570 1600GB 10WPD2.5I;
SSD1600GB25S570;VXRAIL-500CACHESSD S570 1600GB;VxRail-500CACHESSD S570 1600GB 10WPD2.5I;
RISERR740S5701S2S;VXRAIL-500 RISER R740 S570 1B 2;VXRAIL-500 RISER R740 S570 1B 2B;
RISERR740S5701S2S;VXRAIL-500 RISER R740 S570 1B 2;VxRail-500 RISER R740 S570 1B 2B;
1SS570HSKDMFN;VXRAIL-500 1SS570 HSK DIMM CPU;VXRAIL-500 1SS570 HSK DIMM CPU BLK FAN;
1SS570HSKDMFN;VXRAIL-500 1SS570 HSK DIMM CPU;VxRail-500 1SS570 HSK DIMM CPU BLK FAN;
1SS570HSKDMFN;VXRAIL-500 1SS570 HSK DIMM CPU;VXRAIL 500 Flash Drive Array;
NDCX710QP10GBSFPH;VXRAIL-500 NDC INTEL X710 QP 10;VXRAIL-500 NDC INTEL X710 QP 1;
CAPHDD12TB10K25VX5;VXRAIL-500 HDD SAS 1.2TB 10K RP;1.2TB SAS 10000RPM HD Int;
CAPHDD12TB10K25VX5;VXRAIL-500 HDD SAS 1.2TB 10K RP;VXRAIL-500 HDD SAS 1.2TB 10K R;
CAPHDD12TB10K25VX5;VXRAIL-500 HDD SAS 1.2TB 10K RP;VXRAIL-500 HDD SAS 1.2TB 10K RPM 2.5INCH;
CAPHDD12TB10K25VX5;VXRAIL-500 HDD SAS 1.2TB 10K RP;VxRail-500 HDD SAS 1.2TB 10K RPM 2.5INCH;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;(GIIQuote:99102910) VRTX Rack Chassis 18*600GB 3YRPRO4HR;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;(GIIQuote:99524385) VRTX 25*1.2TB 1.4TB 5YRPRO4HR;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;(GIIQuote:99524385) VRTX 25*1.2TB 5YRPRO4HR;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;(GIIQuote:99640691) VRTX 10Gb H710P 12*900GB 3YRPRO4HR;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;(GIIQuote:100217158) VRTX;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;(GIIQuote:100328136) VRTX;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;(GIIQuote:100360931) VRTX Chassis;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;(GIIQuote:100425878.10) VRTX;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;(GIIQuote:100428456/5) VRTX;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;:B&H-Poste:2000160962 dell pe vrtx chass;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;:B&H-Poste:2000161869 DELL PE VRTX CHASS;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;:CR21:DELL PWRDG VRTX I350 5Y;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;:CRHN:DELL POWEREDGE VRTX CHASSIS RACK;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;:DIRISI:DELL VRTX 25*1,2To BROADCOM 5719;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;:MINDEF:DELL PWRDG VRTX I350 5Y;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;:POSTE:DELL PE VRTX Chassis Rack 11x300G;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;:UNIHA:DELL PE VRTX ChÃ¢ssis Rack 6x600GB;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;:UNIHA:DELL PE VRTX ChÃ¢ssis Rack 10x1,2T;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;BTO/210-ABCT?17911342.9;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;BTO/210-ABCT?17955501;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;BTO/210-ABCT?17963434;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;BTO/210-ABCT?18404389.2;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;BTO/210-ABCT?18416509;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;BTO/210-ABCT?18421834;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;BTO/210-ABCT?18588135;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;BTO/210-ABCT?22793384.3;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;BTO/210-ABCT?22831976.2;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;BTO/210-ABCT?22982117;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;BTO/210-ABCT?23038285;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;BTO/210-ABCT?23045949.2;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;BTO/210-ABCT?23054288;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;BTO/210-ABCT?23186489.2;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;BTO/BUNDEL POWEREDGE VRTX RACK;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;BTO/Dell 210-ABCT?18183625;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;BTO/Dell 210-ABCT?18243222.2;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;CS/Dell PowerEdge VRTX;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;CS/Dell PowerEdge VRTX chasis;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;CS/Dell PowerEdge VRTX chasis para rack;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;CS/Dell PowerEdge VRTX rack;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;CS/Dell PowerEdge VRTX Rack Chassis;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;CS/PowerEdge VRTX chasis para rack;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;cs/PowerEdge VRTX chasis para rack;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;CS/PowerEdge VRTX Rack;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;CS/PowerEdge VRTX Rack Chassis;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;cs/Poweredge VRTX rack chassis;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;CS/PowerEdge VRTX Rack Chassis[Dell Powe;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;CS/PowerEdge VRTX Rack for blades;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;DELL POWEREDGE VRTX 10X1TB NLSAS 5Y BASI;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;DELL POWEREDGE VRTX CHASSIS RA CK;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;DELL POWEREDGE VRTX RACK;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;DELL PowerEdge VRTX Rack;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;DELL PowerEdge VRTX Rack Gehaeuse;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;DELL POWEREDGE VRTX WITH 2XM630P 5Y PROP;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;HC (Gii: 102421482) VRTX;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;HC (Gii: 102481160) VRTX Rack Chassis;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;HC GII 102855840 VRTX;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;HC(EQ:101390414/2)VRTX;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;HC(GII:101250146/2)VRTX;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;JS (Gii: 102174427.1) VRTX Rack + M630;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;JS (Gii: 102174430.1) VRTX Rack + M630;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;LM (GIIQuote:101475038.2) VRTX;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;MS(Gii:100987176) VRTX;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;POWEREDGE VRTX CHASSIS RACK;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;POWEREDGE VRTX CHASSIS RACK CO NFIGURATION RACK POWEREDGE VRT;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;PowerEdge VRTX obudowa do monta¿u w szafie serwerowej;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;PowerEdge VRTX obudowa do montau w szafie serwerowej;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;POWEREDGE VRTX RACK;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;PowerEdge VRTX Rack;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;PowerEdge Vrtx Rack;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;PowerEdge VRTX Rack-Gehäuse;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;POWEREDGE VRTX RACK CHASSIS;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;PowerEdge VRTX Rack Chassis;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;PowerEdge VRTX Rack Chassis [Dell PowerEdge VRTX];
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;PowerEdge VRTX Rack Chassis, PM#3652724;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;PowerEdge VRTX Rack Gehäuse;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;PS (Gii 103077371) VRTX Rack Chassis;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;SL (Gii 103233836) VRTX Rack Chassis;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;SL (Gii: 102981801) VRTX Rack Chasis;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;SL (Gii: 102981850) VRTX Rack Chasis;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;Tarnybiniu stociu moduline talpykla;
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;VRTX(giiquote:100380273/12);
210-ABCT;BTO DELL EMC VRTX CHASSIS 2CTRL;ZR (Gii 103181821) VRTX Rack Chassis;
210-ANLW;LB(Gii:103666363) EMC XC640ENT;BASE HCI XC640ENT ESXI;
210-ANLW;LB(Gii:103666363) EMC XC640ENT;BASE,HCI,XC640ENT,ESXI DELL EMC XC640;
210-ANLW;LB(Gii:103666363) EMC XC640ENT;CH (Gii 103270187) XC640ENT;
210-ANLW;LB(Gii:103666363) EMC XC640ENT;CH(Gii:103543219) XC640ENT;
210-ANLW;LB(Gii:103666363) EMC XC640ENT;DELL EMC XC640ENT F R ESXI [DELL EMC XC;
210-ANLW;LB(Gii:103666363) EMC XC640ENT;DELL EMC XC640ENT FOR ESXI;
210-ANLW;LB(Gii:103666363) EMC XC640ENT;DELL EMC XC640ENT POUR ESXI [D ELL EMC XC640 - ULTIMATE;
H500S-MODEL-P;HCI M StorageNode;H50CS-MODEL-P;
VX14G2SLOWFREQHS;VxRail 14G 2S LOW FREQ HEATSINK;VXRAIL 14G 2S LOW FREQ HEATSINK;
VX14GDRVBLANK;VxRail 14G DRIVE BLANK;VXRAIL 14G DRIVE BLANK;
Q9J75A;HPE OmniStack 16-22c 1P Small SW/Promo;OmniStack 16-22c 1P Small SW/Promo;
88033KRM;FusionSphere Virtualization Suite Advanced Edition1Y subs;FS0S6FVASA01;
PR4110SV8C21-2;VxRail-500 Intel CPU 4110 8C 2.1GHz2ndH;VXRAIL-500 INTEL CPU 4110 8C 2;
PR6126GD12C26;VXRAIL-500 INTEL CPU 6126 12C 2.6 GHz H;VXRAIL 500 Xeon Gold/6126/2.6GHz Flash Drive Array;
HBA330CTRL1SH;VxRail-500 PercHBA330RAIDCTR MINI12Gb 1S;VXRAIL-500 PERCHBA330RAIDCTR MINI12GB 1S;
D:PF-VSAN-SOL-ID;=>>PRIMEFLEX FOR VMWARE VSAN SOL;FUJITSU VMW VSAN 6.2 ADV for 1 CPU;
D:PF-VSAN-SOL-ID;=>>PRIMEFLEX FOR VMWARE VSAN SOL;PRIMEFLEX FOR VMWARE;
D:PF-VSAN-SOL-ID;=>>PRIMEFLEX FOR VMWARE VSAN SOL;PRIMEFLEX FOR VMWARE VSAN SOL ID - D:PF-VSAN-SOL-ID;
210-ANLX;JH(Gii:103781403) XC640ENT;RS(Gii:103424309) XC640ENT;
H500S-MODEL-P;HCI M StorageNode;H50CS-MODEL-P;
Q9J80A;HPE OmniStack 16-22c 2P Large SW_Promo;OmniStack 16-22c 2P Large SW/Promo;
867158-B21;HPE Apollo r2600 Gen10 24 SFF;HPE Apollo r2600 Gen10 24 SFF Premium Co;
867158-B21;HPE Apollo r2600 Gen10 24 SFF;HPE Apollo r2600 Gen10 24 SFF Premium Configure-to-order Chassis;
Q8D87A;HPE SIMPLIVITY 384G 12 DIMM FIO;=>>>HPE SIMPLIVITY 384G 12DIMM FIO;
Q8D87A;HPE SIMPLIVITY 384G 12 DIMM FIO;HPE SIMPLIVITY 384G 12 DIMM;
770-BBBM;READYRAILS RAILS STATIQUES RAC KS  2/4 MONTANTS;Dell ReadyRails Static Rails;
770-BBBM;READYRAILS RAILS STATIQUES RAC KS  2/4 MONTANTS;READYRAILS GUIAS;
770-BBBM;READYRAILS RAILS STATIQUES RAC KS  2/4 MONTANTS;ReadyRails guÝas estßticas para racks de 2/4 postes;
770-BBBM;READYRAILS RAILS STATIQUES RAC KS  2/4 MONTANTS;ReadyRails Static Rails for 2/4-post Racks;
770-BBBM;READYRAILS RAILS STATIQUES RAC KS  2/4 MONTANTS;READYRAILS STATISCHE SCHIENEN F R RACKS;
VXSSD800GB10WPD25U;EMC. VXRAIL 14G CACHE SSD 800GB 10WPD 2.5 U;"800GB 2.5"" SAS Solid State Drive";
02312BVQ;SSD 480GB SATA 6Gb/s Read Intensive S4500 Series 2.5inch(2.5inch Drive Bay) FusionCube;N480SSDW2S45;
ZU730A;HPE SUPERDOME 2 HW CONFIGURATION SER;HPE SUPERDOME 2 HW CONFI;
Q9J72A;HPE OMNISTACK 8-14C 2P LARGE SW/PROMO;HPE OmniStack 8-14c 2P Large SW/Promo;
Q9J72A;HPE OMNISTACK 8-14C 2P LARGE SW/PROMO;OmniStack 8-14c 2P Large SW/Promo;
E0K6PLL;IBM PUREDATA SYSTEM FOR ANALYTICS N3001-005 APPLIA;IBM PureData System for Analytics N3001;
E0K6PLL;IBM PUREDATA SYSTEM FOR ANALYTICS N3001-005 APPLIA;IBM PUREDATA SYSTEM FOR ANALYTICS N3001-;
